dateRep,day,month,year,cases,deaths,countriesAndTerritories,geoId,countryterritoryCode,popData2020,continentExp
2022-04-28,28,4,2022,70034,131,Italy,IT,ITA,59641488,Europe
2022-04-28,28,4,2022,7580,51,Greece,EL,GRC,10718565,Europe
2022-04-28,28,4,2022,850,9,Croatia,HR,HRV,4058165,Europe
2022-04-28,28,4,2022,867,24,Poland,PL,POL,37958138,Europe
2022-04-28,28,4,2022,94781,103,Germany,DE,DEU,83166711,Europe
2022-04-29,29,4,2022,1016,7,Romania,RO,ROU,19328838,Europe
2022-04-29,29,4,2022,1129,14,Slovakia,SK,SVK,5457873,Europe
2022-04-29,29,4,2022,13536,20,Portugal,PT,PRT,10295909,Europe
2022-04-29,29,4,2022,1384,12,Hungary,HU,HUN,9769526,Europe
2022-04-29,29,4,2022,14,0,Liechtenstein,LI,LIE,38747,Europe
2022-04-29,29,4,2022,1435,11,Czechia,CZ,CZE,10693939,Europe
2022-04-29,29,4,2022,1672,4,Netherlands,NL,NLD,17407585,Europe
2022-04-29,29,4,2022,178,0,Malta,MT,MLT,514564,Europe
2022-04-29,29,4,2022,226,0,Iceland,IS,ISL,364134,Europe
2022-04-29,29,4,2022,2510,18,Finland,FI,FIN,5525292,Europe
2022-04-29,29,4,2022,277,5,Estonia,EE,EST,1328976,Europe
2022-04-29,29,4,2022,344,0,Norway,NO,NOR,5367580,Europe
2022-04-29,29,4,2022,401,5,Sweden,SE,SWE,10327589,Europe
2022-04-29,29,4,2022,411,1,Latvia,LV,LVA,1907675,Europe
2022-04-29,29,4,2022,4364,15,Belgium,BE,BEL,11522440,Europe
2022-04-29,29,4,2022,491,14,Bulgaria,BG,BGR,6951482,Europe
2022-04-29,29,4,2022,5225,9,Austria,AT,AUT,8901064,Europe
2022-04-29,29,4,2022,52919,158,France,FR,FRA,67320216,Europe
2022-04-29,29,4,2022,571,0,Luxembourg,LU,LUX,626108,Europe
2022-04-29,29,4,2022,59395,133,Italy,IT,ITA,59641488,Europe
